job_role,experience_years,education_level,skills,salary,is_demonstration
Cloud Engineer,0.8,Bachelor's Degree,"Google Cloud Platform (GCP), Microservices, CI/CD, AWS, Linux, DevOps, System Design",117500,True
DevOps Engineer,7.4,Master's Degree,"Nginx, AWS, Linux, Terraform",165500,True
Frontend Developer,1.7,Bachelor's Degree,"REST APIs, Git, TypeScript",90000,True
Backend Developer,5.5,High School / Bootcamp,"PostgreSQL, Node.js, Go, FastAPI",125500,True
AI Engineer,2.6,High School / Bootcamp,"TensorFlow, RAG, Natural Language Processing, Deep Learning, Vector Databases, LangChain, Hugging Face, PyTorch",146500,True
Full Stack Developer,0.9,Master's Degree,"HTML5, Node.js, MongoDB, Tailwind CSS, CSS3, PostgreSQL, TypeScript, React, Rust",115500,True
Cloud Engineer,4.1,Bachelor's Degree,"AWS, Google Cloud Platform (GCP), Microsoft Azure",136000,True
Software Engineer,3.6,Master's Degree,"System Design, Java, Linux",118000,True
Frontend Developer,2.5,Ph.D.,"Git, TypeScript, CSS3, Redux",118500,True
Frontend Developer,6.3,Master's Degree,"HTML5, JavaScript, Responsive Design, CSS3, Git, Large Language Models",138000,True
Backend Developer,1.5,Ph.D.,"System Design, Go, PostgreSQL, REST APIs, MongoDB, FastAPI, SQL",133000,True
Software Engineer,12.6,High School / Bootcamp,"Python, SQL, Java",148500,True
Data Scientist,3.5,Bachelor's Degree,"Machine Learning, Data Visualization, NumPy, SQL, Large Language Models",128000,True
Backend Developer,0.7,Master's Degree,"Go, System Design, FastAPI",111000,True
Full Stack Developer,1.2,Associate's Degree,"REST APIs, JavaScript, TypeScript, Node.js, React, CSS3, PostgreSQL, Tailwind CSS",105000,True
AI Engineer,8.8,Ph.D.,"Deep Learning, Hugging Face, TensorFlow, Natural Language Processing, RAG, PyTorch, Python",234000,True
ML Engineer,8.0,Bachelor's Degree,"MLOps, Machine Learning, Data Pipelines, PyTorch",170500,True
DevOps Engineer,7.1,Bachelor's Degree,"Nginx, Terraform, Linux, Prometheus & Grafana, Microservices",155500,True
Mobile Developer,0.2,Bachelor's Degree,"TypeScript, Swift, Mobile UI, React Native, Flutter, Git, Firebase, Go",91500,True
Data Engineer,7.5,Master's Degree,"PostgreSQL, Kafka, SQL",160000,True
Frontend Developer,2.9,Bachelor's Degree,"Git, REST APIs, CSS3, Redux, JavaScript, Large Language Models",110500,True
Data Scientist,2.9,Master's Degree,"Python, SQL, Data Wrangling, Pandas, Scikit-Learn, A/B Testing, Machine Learning",137500,True
Full Stack Developer,0.7,Master's Degree,"Node.js, MongoDB, Git, TypeScript, HTML5",112000,True
Cloud Engineer,0.9,Master's Degree,"AWS, Microsoft Azure, Terraform, CI/CD, Linux, DevOps",123000,True
Backend Developer,5.3,Master's Degree,"Go, Microservices, MongoDB, PostgreSQL",144500,True
DevOps Engineer,7.7,Bachelor's Degree,"Nginx, Shell / Bash, AWS, Docker, Prometheus & Grafana, Terraform, Kubernetes",164000,True
Data Engineer,0.9,Bachelor's Degree,"SQL, AWS, Apache Spark, Kafka, Python, Data Pipelines, Pandas, Go",109000,True
